baseline,scenario_name,algorithm,size,optimizer,annealings,iterations,status,score,evaluation,exec_time,total_cost,max_time,min_fidelity
qb-linear,scenario1,qaoa,6,linear,-,-,no_solution_found,-,-,0.013695746660232544,-,-,-
qb-linear,scenario1,qaoa,8,linear,-,-,no_solution_found,-,-,0.013314703479409218,-,-,-
qb-linear,scenario1,qnn,8,linear,-,-,solution_found,536.4831160074561,317.0453467369869,0.02147061564028263,247.13069347397382,386.96000000000004,0.9384
qb-linear,scenario3,qft,10,linear,-,-,solution_found,265.6,229.51999999999998,0.01776919700205326,200.07617253840908,229.51999999999998,0.9564
qb-nonlinear,scenario2,qaoa,10,nonlinear,10,40,solution_found,-669.9266498060908,669.9266498060908,25.77796712704003,669.9266498060908,1699.3200000000002,0.8621
qb-nonlinear,scenario2,twolocalrandom,6,nonlinear,10,40,solution_found,-254.15127612786378,254.15127612786378,21.21255000308156,254.15127612786378,720.72,0.8626
qb-nonlinear,scenario2,qft,6,nonlinear,10,40,solution_found,-253.89132422167918,253.89132422167918,20.999893084168434,253.89132422167918,744.9200000000001,0.8577
qb-nonlinear,scenario3,vqe,6,nonlinear,10,40,solution_found,195.1,195.1,14.722865883260965,206.2862893223567,195.1,0.9566
qb-linear,scenario1,qnn,6,linear,-,-,solution_found,536.4831160074561,317.0453467369869,0.02243204601109028,247.13069347397382,386.96000000000004,0.9384
qb-linear,scenario2,qaoa,8,linear,-,-,solution_found,-749.9999906088016,303.8800669815981,0.12267916090786457,303.8800669815981,1525.0700000000002,0.6303
qb-linear,scenario3,qnn,6,linear,-,-,solution_found,380.63,338.24,0.017963066697120667,251.71096525707927,338.24,0.9381
qb-linear,scenario1,qft,8,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.02194192446768284,171.90508827040702,294.15999999999997,0.9539
qb-nonlinear,scenario2,vqe,8,nonlinear,10,40,solution_found,-253.66041882397533,253.66041882397533,21.562923775985837,253.66041882397533,745.9200000000001,0.893
qb-linear,scenario3,realamprandom,10,linear,-,-,solution_found,265.6,229.51999999999998,0.01715545542538166,200.07617253840908,229.51999999999998,0.9564
qb-linear,scenario2,twolocalrandom,8,linear,-,-,solution_found,-749.9999926263873,225.7945678772191,0.07674814201891422,225.7945678772191,580.52,0.4991
qb-nonlinear,scenario2,dj,8,nonlinear,10,40,solution_found,-575.311251161511,575.311251161511,24.37817762978375,575.311251161511,1628.62,0.8797
qb-linear,scenario3,dj,8,linear,-,-,solution_found,1743.7,1540.07,0.02178465761244297,278.8184909091729,1540.07,0.8975
qb-nonlinear,scenario3,qft,8,nonlinear,10,40,solution_found,195.3,195.3,15.496377121657133,205.78018528269968,195.3,0.9566
qb-linear,scenario2,qft,10,linear,-,-,solution_found,-749.9999926263873,225.7945678772191,0.07763168774545193,225.7945678772191,580.52,0.4991
qb-linear,scenario1,vqe,8,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.02172376960515976,171.90508827040702,294.15999999999997,0.9539
qb-linear,scenario2,qnn,8,linear,-,-,solution_found,-749.999990189297,290.7485142031338,0.027163462713360786,290.7485142031338,775.76,0.0
qb-linear,scenario1,dj,8,linear,-,-,no_solution_found,-,-,0.017127355560660362,-,-,-
qb-nonlinear,scenario3,qnn,6,nonlinear,10,40,solution_found,255.67999999999998,255.67999999999998,15.259612064808607,293.5757601061413,255.67999999999998,0.9377
qb-nonlinear,scenario3,dj,8,nonlinear,10,40,solution_found,373.44000000000005,373.44000000000005,18.107468083500862,459.732122835827,373.44000000000005,0.8987
qb-linear,scenario3,qaoa,6,linear,-,-,no_solution_found,-,-,0.011930156499147415,-,-,-
qb-linear,scenario3,qnn,8,linear,-,-,solution_found,380.63,338.24,0.018522875383496284,251.71096525707927,338.24,0.9381
qb-nonlinear,scenario3,realamprandom,6,nonlinear,10,40,solution_found,195.60000000000002,195.60000000000002,14.784401841461658,205.1306696552759,195.60000000000002,0.9566
qb-linear,scenario2,realamprandom,10,linear,-,-,solution_found,-749.9999926263873,225.7945678772191,0.07546399533748627,225.7945678772191,580.52,0.4991
qb-nonlinear,scenario1,twolocalrandom,10,nonlinear,10,40,solution_found,200.66701045952937,200.66701045952937,24.284055095165968,203.73402091905874,197.6,0.9566
qb-linear,scenario1,vqe,10,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.021971380338072777,171.90508827040702,294.15999999999997,0.9539
qb-linear,scenario2,dj,10,linear,-,-,solution_found,-749.9999905401202,290.42777687910177,0.09622249193489552,290.42777687910177,847.89,0.0
qb-linear,scenario1,realamprandom,8,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.020063403993844986,171.90508827040702,294.15999999999997,0.9539
qb-nonlinear,scenario3,qft,6,nonlinear,10,40,solution_found,195.8,195.8,15.206843731924891,205.83922758264723,195.8,0.9566
qb-linear,scenario2,dj,8,linear,-,-,solution_found,-749.9999905401202,290.42777687910177,0.09667503088712692,290.42777687910177,847.89,0.0
qb-linear,scenario1,dj,10,linear,-,-,no_solution_found,-,-,0.014076372608542442,-,-,-
qb-linear,scenario3,dj,10,linear,-,-,solution_found,1743.7,1540.07,0.022617017850279808,278.8184909091729,1540.07,0.8975
qb-nonlinear,scenario3,dj,6,nonlinear,10,40,solution_found,375.09,375.09,16.668691374361515,458.9669482076484,375.09,0.8987
