scenario_name,algorithm,size,annealings,iterations,status,evaluation,exec_time
scenario3,qft,6,30,55,solution_found,194.85,59.5857416279614
scenario3,vqe,8,20,1,solution_found,207.76,1.5661517325788736
scenario2,qaoa,6,20,30,solution_found,670.7642711254906,34.75886263139546
scenario2,twolocalrandom,8,15,1,solution_found,238.74329075991207,1.4394335374236107
scenario1,qnn,8,1,50,solution_found,276.8441772656637,3.454639943316579
scenario1,qft,8,1,30,solution_found,208.55088836169944,2.0069529060274363
scenario2,qnn,6,1,50,solution_found,364.7913734315115,3.1266371738165617
scenario3,vqe,10,20,35,solution_found,194.85,28.110573587939143
scenario1,qaoa,8,25,45,solution_found,575.1877117602975,29.91992279328406
scenario3,realamprandom,8,20,10,solution_found,199.60000000000002,8.280395770445466
scenario1,twolocalrandom,8,15,5,solution_found,204.31890013225126,5.463744340464473
scenario3,dj,10,5,50,solution_found,376.12,12.457847150042653
scenario3,dj,6,25,15,solution_found,377.07,16.27024306356907
scenario1,dj,6,20,50,solution_found,470.1572941227406,43.030607499182224
scenario1,twolocalrandom,6,15,1,solution_found,207.313527947376,1.6106955893337727
scenario2,twolocalrandom,6,10,20,solution_found,253.33517390846788,10.71517057530582
scenario1,qnn,10,5,5,solution_found,278.3093870410986,1.8964282497763634
scenario3,qft,8,25,10,solution_found,201.0,10.125393144786358
scenario1,twolocalrandom,6,30,10,solution_found,202.8314990035907,18.289071895182133
scenario2,qaoa,10,30,1,solution_found,630.7746592767157,3.1851434502750635
scenario3,vqe,10,25,45,solution_found,194.64000000000001,44.61652660369873
scenario1,twolocalrandom,10,1,5,solution_found,210.94086276599242,1.143560891970992
scenario1,dj,10,5,45,solution_found,470.4759346309556,11.060207532718778
scenario3,qnn,10,1,1,solution_found,327.77000000000004,0.6653289310634136
scenario3,qnn,6,5,1,solution_found,301.97,0.4082150924950838
scenario2,qft,10,1,40,solution_found,252.8597200494469,2.68370708450675
scenario3,qaoa,8,20,1,solution_found,485.2000000000001,1.5901356805115938
scenario2,vqe,6,5,55,solution_found,253.6112348205598,14.74853877350688
scenario2,qnn,6,1,55,solution_found,364.1292618001229,3.3692298904061317
scenario1,vqe,8,15,25,solution_found,201.51951491833907,22.472289016470313
scenario3,vqe,10,1,15,solution_found,202.41,0.851436784490943
scenario1,realamprandom,6,10,25,solution_found,201.63439611112335,15.2439045291394
scenario1,vqe,8,20,50,solution_found,199.9578117701172,57.87954957038164
scenario1,qaoa,6,30,60,solution_found,574.8953027621033,46.37415922805667
scenario1,qaoa,6,20,5,solution_found,581.6743232914303,3.0589730460196733
scenario3,twolocalrandom,10,5,10,solution_found,205.17000000000002,2.260352373123169
scenario1,realamprandom,6,25,50,solution_found,199.97059161649136,71.24955430999398
scenario2,qaoa,10,20,1,solution_found,626.1014870564761,2.1816874518990517
scenario2,qaoa,10,1,30,solution_found,672.3818778587987,2.2996247932314873
scenario2,twolocalrandom,8,30,20,solution_found,253.4389983634167,32.82976737618446
scenario3,vqe,6,20,1,solution_found,209.47,1.8178757689893246
scenario2,dj,10,30,25,solution_found,575.3269682845199,49.263994839042425
scenario2,dj,10,25,55,solution_found,577.5079451451122,87.56073093414307
scenario1,qnn,10,15,5,solution_found,281.59311483664476,6.075042327865958
scenario2,vqe,8,30,60,solution_found,254.05671868553233,94.657755529508
scenario3,qft,10,30,35,solution_found,194.4,41.70542472228408
scenario1,vqe,8,30,5,solution_found,203.8351113979004,10.289201164618134
scenario3,qnn,10,10,60,solution_found,253.89,24.568044180050492
scenario3,qaoa,10,20,55,solution_found,432.7200000000001,51.151247499510646
scenario2,qnn,6,15,45,solution_found,364.6945826835627,36.809496972709894
